ID,timestamp,x1,y1,x2,y2,x1sim,y1sim,x2sim,y2sim,nn_pred_x,nn_pred_y,svr_pred_x,svr_pred_y,nn_pred_xr,nn_pred_yr,svr_pred_xr,svr_pred_yr,reversed_x1sim,reversed_y1sim
320,0.1215,28.95634,40.23861,28.95626,40.23856,32310.6,4792.4,32305.4,4790.7,32328.182,4800.019,32525.22158,4805.35189,28.95661151897151,40.238824801176406,28.959657573058838,40.238975548937894,,
320,0.1222,28.95951,40.24082,28.95972,40.24098,32515.7,4870.6,32529.3,4876.3,32523.46,4877.322,32697.10612,4860.098117,28.959630340621786,40.241009967982066,28.962314752929075,40.24052309092172,,
320,0.1319,29.08465,40.18512,29.08467,40.18516,40610.6,2900.1,40611.9,2901.6,40621.285,2890.6206,40133.79378,3052.659491,29.084815407194366,40.18485077685056,29.077279232872343,40.18943122011717,,
320,0.1326,29.08463,40.18523,29.08461,40.1854,40609.3,2904,40608,2910.1,40618.92,2893.6846,39819.97913,3167.458605,29.084778846428673,40.184937388639135,29.072427941587126,40.19267631038834,,
320,0.134,29.05916,40.18859,29.05896,40.18853,38961.7,3022.9,38948.8,3020.8,38966.777,3013.6987,38953.34024,3046.471563,29.059238206634355,40.188329893813986,29.059030486450833,40.189256302521976,,
320,0.1375,29.01996,40.20664,29.01965,40.20661,36426,3661.4,36405.9,3660.4,36432.324,3653.8167,36608.00109,3594.066226,29.020057850485628,40.20642446459786,29.022773659756258,40.20473546478663,,
320,0.141,28.98333,40.23149,28.98308,40.23149,34056.5,4540.5,34040.3,4540.5,34045.094,4532.537,34177.24696,4526.541384,28.98315342905468,40.231263739024726,28.985196394554105,40.23109425761957,,
320,0.1424,28.97814,40.22193,28.97811,40.22178,33720.8,4202.3,33718.9,4197,33723.453,4200.561,33951.12883,4199.933322,28.9781811494614,40.22187958917962,28.981700812325872,40.22186184625722,,
320,0.1514,28.97662,40.22208,28.97655,40.22206,33622.5,4207.7,33617.9,4206.9,33621.85,4207.321,33873.18973,4215.666694,28.976610458773592,40.22207067785155,28.98049594417645,40.22230659021587,,
320,0.166,28.98235,40.2306,28.98243,40.23071,33993.1,4509.1,33998.3,4512.9,34003.05,4505.8677,34227.1018,4518.297056,28.982503466757525,40.23050986311964,28.985967105388724,40.230861210624234,,
320,0.1701,28.98248,40.23151,28.98251,40.23144,34001.5,4541.2,34003.5,4538.8,34000.64,4539.8213,34209.46257,4544.817565,28.98246621033244,40.23146964837575,28.985694418811548,40.23161088057153,,
320,0.1708,28.97898,40.22507,28.97896,40.22499,33775.1,4313.4,33773.8,4310.6,33769.582,4314.801,33982.4006,4357.535779,28.978894262172023,40.22510887466503,28.98218424566869,40.22631688238165,,
320,0.1778,28.96661,40.20596,28.9667,40.206,32975,3637.4,32980.8,3638.8,32979.82,3638.4219,33300.73067,3675.320283,28.966685254377154,40.20598929124184,28.971646243727726,40.20703231831342,,
320,0.1785,28.96617,40.20913,28.96617,40.20924,32946.5,3749.5,32946.5,3753.4,32950.04,3746.9585,33211.6978,3759.088119,28.96622488245228,40.20905735555396,28.97026987590574,40.20940023022641,,
320,0.1792,28.96714,40.20927,28.96715,40.20905,33009.2,3754.5,33009.9,3746.7,33008.77,3751.5981,33304.8119,3852.046682,28.967132795251064,40.20918850570222,28.9717093358604,40.212027941520525,,
320,0.1847,28.97515,40.23058,28.97514,40.23064,33527.4,4508.3,33526.7,4510.5,33524.504,4509.186,33787.27751,4524.393201,28.975105577464035,40.230603663347466,28.979167818787214,40.231033533738426,,
320,0.1861,28.97667,40.23459,28.97669,40.23462,33625.7,4650.2,33627,4651.3,33621.453,4650.347,33882.64299,4699.707793,28.976604321511868,40.23459393968155,28.980642083044902,40.23598924861348,,
320,0.1903,28.97676,40.23557,28.97673,40.23557,33631.5,4684.9,33629.6,4684.9,33622.945,4686.893,33858.66318,4733.330884,28.976627386485404,40.23562700574729,28.980271376823016,40.23693969118824,,
